"id";"respostapergunta_id";"opcao_id"
3364;1190;43
3366;1192;46
3368;1192;48
3370;1192;45
3372;1193;50
3374;1193;51
3376;1193;52
3378;1195;53
3380;1195;54
3382;1195;55
3384;1195;56
3386;1195;57
3388;1195;131
3390;1205;67
3391;1205;68
3394;1205;69
3396;1215;71
3398;1215;72
3400;1215;73
3402;1215;74
3404;1215;134
3413;1234;95
3450;1234;96
3452;1234;97
3454;1234;98
3458;1234;101
3460;1234;102
3481;1216;78
3483;1216;79
3485;1216;80
3489;1216;77
3547;1241;104
3578;974;104
3650;895;17
3677;1204;62
